state,_TYPE_,_FREQ_,cancer,heart_disease,both_condition,neither,avg_allowed_amt,avg_pc_vst,avg_cardiologist_vst,avg_oncologist_vst,avg_others_vst,avg_inpatient,avg_outpatient
AL,0,173,1,0,0,0,14769.83676,3.780346821,0.289017341,2.398843931,13.60115607,0.242774566,3.734104046
AR,0,85,1,0,0,0,13308.00929,5.164705882,0.647058824,2.070588235,13.98823529,0.435294118,4.352941176
AZ,0,164,1,0,0,0,11980.34024,4.018292683,0.304878049,1.506097561,12.02439024,0.12804878,3.109756098
CO,0,119,1,0,0,0,15956.59529,3.411764706,0.226890756,1.647058824,11.39495798,0.260504202,3.74789916
CT,0,112,1,0,0,0,16570.80705,4.410714286,0.508928571,2.223214286,14.85714286,0.142857143,4.875
GA,0,262,1,0,0,0,12574.97126,4.255725191,0.419847328,1.980916031,12.71755725,0.286259542,3.072519084
HI,0,27,1,0,0,0,16247.21704,2.925925926,0.074074074,0.962962963,17.03703704,0.222222222,2.148148148
IA,0,107,1,0,0,0,10888.91449,3.962616822,0.429906542,1.663551402,13.46728972,0.158878505,5.46728972
ID,0,17,1,0,0,0,23306.66294,4.117647059,0.235294118,4.529411765,20.41176471,0.294117647,4.352941176
IL,0,312,1,0,0,0,14022.62792,3.935897436,0.317307692,2.153846154,13.23397436,0.278846154,5.958333333
IN,0,83,1,0,0,0,12758.07976,3.614457831,0.204819277,2.337349398,11.4939759,0.168674699,4.819277108
KY,0,158,1,0,0,0,15360.37025,4.411392405,0.341772152,3.14556962,14.16455696,0.227848101,4.392405063
LA,0,112,1,0,0,0,11952.59027,3.785714286,0.3125,1.366071429,13.19642857,0.160714286,3.4375
MA,0,162,1,0,0,0,19066.42086,3.858024691,0.530864198,2.080246914,15.48765432,0.135802469,4.641975309
MD,0,166,1,0,0,0,12490.92512,3.295180723,0.313253012,2.409638554,12.42168675,0.186746988,3.355421687
ME,0,22,1,0,0,0,8464.466364,2,0.545454545,2.318181818,9.272727273,0.181818182,2.727272727
MI,0,355,1,0,0,0,15320.07586,4.216901408,0.436619718,2.166197183,12.94647887,0.236619718,6.073239437
MN,0,196,1,0,0,0,12723.75398,4.137755102,0.387755102,1.903061224,11.07142857,0.265306122,4.943877551
MO,0,176,1,0,0,0,14593.52563,3.823863636,0.284090909,1.698863636,12.54545455,0.1875,5.545454545
MS,0,51,1,0,0,0,16346.26196,2.980392157,0.254901961,1.941176471,10.52941176,0.31372549,3.215686275
MT,0,9,1,0,0,0,33558.37222,6.111111111,0,5.555555556,18.44444444,0.555555556,3.888888889
NC,0,349,1,0,0,0,14159.87745,4.315186246,0.406876791,3.042979943,14.9025788,0.280802292,4.23782235
NE,0,88,1,0,0,0,17931.48148,4.454545455,0.454545455,3.056818182,16.19318182,0.352272727,6.193181818
NH,0,12,1,0,0,0,26528.985,1.916666667,0.25,2.083333333,16.5,0.75,4
NJ,0,272,1,0,0,0,14381.04662,4.191176471,0.658088235,2.386029412,15.38970588,0.202205882,3.8125
NM,0,115,1,0,0,0,9803.227217,4.539130435,0.191304348,1.852173913,14.17391304,0.156521739,4.252173913
NV,0,105,1,0,0,0,10707.03171,4.085714286,0.380952381,1.247619048,14.06666667,0.180952381,7.219047619
OH,0,392,1,0,0,0,14229.9224,4.576530612,0.339285714,2.227040816,12.84438776,0.31377551,5.864795918
OK,0,87,1,0,0,0,14897.41506,4.344827586,0.597701149,2.942528736,13.43678161,0.298850575,2.885057471
OR,0,69,1,0,0,0,22341.56623,3.623188406,0.173913043,3.028985507,12.31884058,0.289855072,5.202898551
PA,0,477,1,0,0,0,13703.26759,4.34591195,0.457023061,2.06918239,14.76100629,0.140461216,4.974842767
SC,0,95,1,0,0,0,20947.13337,4.105263158,0.273684211,4.189473684,13.57894737,0.410526316,3.642105263
TN,0,222,1,0,0,0,13172.86054,4.162162162,0.423423423,2.864864865,14.02702703,0.252252252,3.490990991
UT,0,34,1,0,0,0,55777.53235,6.323529412,0.529411765,3.411764706,14.5,0.911764706,5.058823529
VA,0,171,1,0,0,0,18508.0876,3.473684211,0.409356725,2.888888889,11.60818713,0.245614035,3.573099415
WA,0,274,1,0,0,0,14624.86825,4.781021898,0.45620438,2.591240876,14.76277372,0.262773723,4.412408759
WI,0,223,1,0,0,0,15775.03193,4.475336323,0.358744395,2.771300448,13.52017937,0.210762332,6.565022422
WV,0,66,1,0,0,0,11805.31076,3.045454545,0.348484848,2.651515152,13.8030303,0.136363636,3.287878788